id,map,name,assim,sim,contr,omo,follower_map_appears,giver_map_appears
m11_finish,m11,finish,no_assim,dif_f01,no_contr,no,0,1
m12_start,m12,start,no_assim,same,no_contr,no,1,1
m12_caravan_park,m12,caravan park,nass,same,no_contr,no,1,1
m12_picket_fence,m12,picket fence,glott,dif_f10,no_contr,no,1,0
m12_old_mill,m12,old mill,ddel,dif_flab01,no_contr,no,0,1
m12_mill_wheel,m12,mill wheel,no_assim,dif_flab10,no_contr,no,1,0
m12_forest,m12,forest,no_assim,dif_f10,no_contr,no,1,0
m12_abandoned_cottage,m12,abandoned cottage,ws,same,no_contr,no,1,1
m12_fenced_meadow,m12,fenced meadow,tdel,dif_i_fnumsame,no_contr,no,1,2
m12_west_lake,m12,west lake,tdel,same,contrsh,no,1,1
m12_trig_point,m12,trig point,no_assim,dif_f01,no_contr,no,0,1
m12_monument,m12,monument,sw,same,no_contr,no,1,1
m12_nuclear_test_site,m12,nuclear test site,tdel,dif_f01,no_contr,yes,0,1
m12_golf_course,m12,golf course,no_assim,dif_f10,no_contr,no,1,0
m12_east_lake,m12,east lake,tdel,same,contrsh,no,1,1
m12_farmed_land,m12,farmed land,ddel,same,no_contr,no,1,1
m12_finish,m12,finish,no_assim,dif_f01,no_contr,no,0,1
m13_start,m13,start,no_assim,same,no_contr,no,1,1
m13_extinct_volcano,m13,extinct volcano,tdel,same,no_contr,no,1,1
m13_tribal_settlement,m13,tribal settlement,sw,dif_f01,no_contr,no,0,1
m13_rope_bridge,m13,rope bridge,no_assim,same,no_contr,no,1,1
m13_machete,m13,machete,ws,dif_f10,no_contr,no,1,0
m13_collapsed_shelter,m13,collapsed shelter,tdel,same,no_contr,no,1,1
m13_crevasse,m13,crevasse,ws,dif_f10,no_contr,no,1,0
m13_saxon_barn,m13,saxon barn,nass,same,no_contr,yes,1,1
m13_pelicans,m13,pelicans,sw,dif_f01,no_contr,no,0,1
m13_white_mountain,m13,white mountain,glott,same,contrsh,no,1,1
m13_golden_beach,m13,golden beach,nass,dif_r_fnum01,no_contr,no,1,2
m13_slate_mountain,m13,slate mountain,glott,same,contrsh,no,1,1
m13_submerged_rocks,m13,submerged rocks,ddel,dif_f10,no_contr,no,1,0
m13_secret_valley,m13,secret valley,glott,same,no_contr,no,1,1
m13_finish,m13,finish,no_assim,dif_f01,no_contr,no,0,1
m14_start,m14,start,no_assim,same,no_contr,no,1,1
m14_diamond_mine,m14,diamond mine,ddel,same,contrsh,no,1,1
m14_graveyard,m14,graveyard,no_assim,dif_f01,no_contr,no,0,1
m14_carved_stones,m14,carved stones,ddel,same,no_contr,no,1,1
m14_indian_country,m14,indian country,nass,same,no_contr,no,1,1
m14_great_rock,m14,great rock,glott,dif_r_fnum01,no_contr,no,1,2
m14_gallows,m14,gallows,no_assim,same,no_contr,no,1,1
m14_gold_mine,m14,gold mine,ddel,same,contrsh,no,1,1
m14_trout_farm,m14,trout farm,glott,same,no_contr,yes,1,1
m14_cavalry,m14,cavalry,sw,dif_f01,no_contr,no,0,1
m14_cattle_stockade,m14,cattle stockade,no_assim,same,no_contr,no,1,1
m14_bandit_territory,m14,bandit territory,no_assim,same,no_contr,no,1,1
m14_ravine,m14,ravine,ws,dif_f10,no_contr,no,1,0
m14_totem_pole,m14,totem pole,no_assim,dif_f10,no_contr,no,1,0
m14_parched_river_bed,m14,parched river bed,tdel,dif_f10,no_contr,no,1,0
m14_finish,m14,finish,no_assim,dif_f01,no_contr,no,0,1
m15_start,m15,start,no_assim,same,no_contr,no,1,1
m15_sandy_shore,m15,sandy shore,no_assim,same,no_contr,no,1,1
m15_crane_bay,m15,crane bay,nass,same,contrsh,no,1,1
m15_well,m15,well,no_assim,dif_f01,no_contr,no,0,1
m15_local_residents,m15,local residents,sw,same,no_contr,no,1,1
m15_iron_bridge,m15,iron bridge,nass,dif_f10,no_contr,no,1,0
m15_wood,m15,wood,no_assim,dif_flab01,no_contr,no,0,1
m15_woodland,m15,woodland,no_assim,dif_flab10,no_contr,no,1,0
m15_forked_stream,m15,forked stream,tdel,dif_flab01,no_contr,no,0,1
m15_gurgling_brook,m15,gurgling brook,no_assim,dif_flab10,no_contr,no,1,0
m15_farmed_land,m15,farmed land,ddel,dif_r_fnum01,no_contr,no,1,2
m15_dead_tree,m15,dead tree,no_assim,same,no_contr,no,1,1
m15_treasure_buried_here,m15,treasure buried here,no_assim,dif_f10,no_contr,no,1,0
m15_lagoon,m15,lagoon,ws,same,no_contr,no,1,1
m15_rock_fall,m15,rock fall,no_assim,dif_f01,no_contr,no,0,1
m15_green_bay,m15,green bay,nass,same,contrsh,no,1,1
m15_computer_controlled_sub,m15,computer controlled sub,ddel,dif_f10,no_contr,yes,1,0
m15_pirate_ship,m15,pirate ship,glott,same,no_contr,no,1,1
m15_hills,m15,hills,no_assim,same,no_contr,no,1,1
m15_pine_grove,m15,pine grove,no_assim,same,no_contr,no,1,1
m15_mountain_stream,m15,mountain stream,no_assim,dif_flab10,no_contr,no,1,0
m15_finish,m15,finish,no_assim,dif_f01,no_contr,no,0,1
